Id	Tweets	Lang	Location
1225683520644775936	#VoteOnDelhi #DelhiElections2020 Whoever are voters of Delhi, please vote don't skip. #8feb #democracy https://t.co/s5Lmw96cW7	en	India
1225683481860038656	"RT @AskGabbarSingh: WTF,

WOW, Whatta lovely words by #ArvindKejriwal first time in the history I would like to say love you mr @ArvindKejr…"	en	UP 🇮🇳 India 🇮🇳
1225683346501464066	RT @bhatvicky73: @ArvindKejriwal gone from auto, not from heart, The fans of CM Arvind Kejriwal is among several auto drivers in Delhi who…	en	Dilli, Bharat
1225683289358254080	"RT @i4army: Kejriwal is the dirtiest animal on earth. He can kil* humanity for his greed. He is a brutal naxal working for Pakistan. 😡

#Ke…"	en	Kailashparwat
1225683285512048642	RT @majoramitbansal: My take on Delhi Elections as on date- @BJP4India to get 34-38 Seats and form the governmnt. @AamAadmiParty will be cl…	en	हृदय
1225683243556466688	Where the author of the @washingtonpost  article  #Kejriwal uses to defend his medical policies says the #Delhi CM… https://t.co/kkvbrdZgaH	en	आधा दिल्ली वाला ,हाफ मुंबईकर
1225683185305960449	"RT @AMIT_GUJJU: BJP 37 se 1 seat bhi Kam Nahi Jeet Rahi Delhi Me.
Save This Tweet
#DelhiElections2020"	en	New Delhi, India
1225683160987357185	"RT @jellyx20: My prediction 

BJP : 38-43
AAP : 26-30
Cong : 🖕

#DelhiElections2020"	en	phoren
1225683136220057601	RT @Election_in: #DataAlert 69% of Delhi voters say they fully support CAA-NPR. Even more interestingly, 73% have said Shaheen Bagh protest…	en	New Delhi, India
1225683110630764544	"#TheVote | Will Delhi's public transport improve? 

#DelhiElections2020 #DelhiAssemblyPolls #DelhiPolls #Delhi https://t.co/0ZOKmbRtCM"	en	India
1225683102883700737	"Money power will be playing deciding role in determining the prospects of votes 
( 11 Close fight seat's)… https://t.co/8Z97Woo8Rg"	en	Spephologist & Poll Strategist
1225683082860089345	"RT @jellyx20: My prediction 

BJP : 38-43
AAP : 26-30
Cong : 🖕

#DelhiElections2020"	en	Jaipur, India
1225683078451843074	"#Voting is Our #Responsibility, Our #Right, Our #Duty. 
Do #vote on 8th Feb 2020 
Your #Vote is your #Voice .… https://t.co/R7hBXnDD52"	en	New Delhi, India
1225683026954244103	"RT @Morewithshashi: Right now, Mood of the Delhi.
Stay tuned. Stay aware.
#DelhiElections2020 https://t.co/KJ3edc0zRH"	en	Bangalore
1225683021715529728	"RT @ChankyaBihar: @aajtak Hello Aaj Tak why did you delete this tweet about arrest of #ManishSisodia OSD?

Is this against your #DelhiElect…"	en	
1225683006930636801	"Sane me: this election campaign can't get worse, this is it.

Bjp in Delhi election: hold my hatred.

#DelhiElections2020"	en	Chandrapur, India
1225682967378292736	RT @NavroopSingh_: Failed promises by AAP in #DelhiElections2020 https://t.co/uYZSSPe7av	en	Pune
1225682943424659456	RT @boomlive_in: A viral video claims a man faked his disability at AAP's blanket distribution drive and @AamAadmiParty had hired actors to…	en	Sringeri, Karnataka
1225682897648046082	"RT @barkhatrehan16: Kindly ensure your participation in Delhi's festival of Democracy. 
Voting is our responsibility, our right, our duty.…"	en	Mumbai, India
1225682865821630464	Pls, click on the link below to read all India Today headlines which are making a buzz today. There’s more to it… https://t.co/DDeX8qcioE	en	Saket, New Delhi
1225682824415440896	"RT @ashu7077: @lohewaliladki Precautions from #Kejrivirus : 
Please move him to Pakistan by not voting  #DelhiElections2020"	en	HINDUSTAN
1225682770225090562	"RT @BlueStocking29: #DelhiElections2020 

AAP 15-18

Amanatullah Khan 2nd Position
Atishi 3rd Position
Raghav Chadda 3rd Position
Gopal Rai…"	en	
1225682726671417347	"RT @FunnyDoc_07_: AAP will form Gov't in Delhi with 40 odd seats in #DelhiElections2020
BJP will win 25-30 seats.

But the twist is that Ke…"	en	Goa, India
1225682696858304513	"RT @IndiaToday: From platter to polls, here's how Biryani made its space in #DelhiElections2020
#ITVideo
More videos: https://t.co/6y4CyQrm…"	en	
1225682689564401665	"Time to clean
Aap is coming to Delhi.
Bye bye #bjp.

#aap #bjpdelhi#aamaadmiparty #delhigovernment… https://t.co/ybykiLekA8"	en	Mumbai
1225682682891255808	"RT @jellyx20: My prediction 

BJP : 38-43
AAP : 26-30
Cong : 🖕

#DelhiElections2020"	en	
1225682680274026498	"@lohewaliladki Precautions from #Kejrivirus : 
Please move him to Pakistan by not voting  #DelhiElections2020"	en	Rudrapur Uttrakhand 
1225682438384320512	"Tommorow is election day. Here's my prediction :

BJP: 32
AAP: 30
INC: 6
Other: 2

I am giving BJP little less seat… https://t.co/zwQpW32NhX"	en	New Delhi, India
1225682429794340864	"RT @IndiaToday: From platter to polls, here's how Biryani made its space in #DelhiElections2020
#ITVideo
More videos: https://t.co/6y4CyQrm…"	en	
