Id	Tweets	Lang	Location
1225684540238118912	"RT @aditiratho: Do read this important piece by my young colleague Shruti Jain at @ORFMumbai, on Gender Bias in AI. ""#GenderBalance is crit…"	en	Mumbai, India
1225684519375626240	@Idolomantises @creatureofgrey I,  too, am a gender.	en	
1225684516678721537	RT @mcnuggetlover69: @TheRealDrePapi I also never understood why it’s call a threesome for men but a train for women... Like do they not se…	en	In My Bag 
1225684505068888064	RT @mike_rat: Free speech is encouraged at university @NTSUPresident explains, little cause for DfE intervention even on the controversial…	en	
1225684495342325761	RT @nytimes: Finland will now give all new parents the same amount of leave — 164 days, paid — regardless of gender. Single parents will al…	en	Catalunya/Cataluña/Catalonia
1225684493014454273	RT @obiwormkenobi: nobody except lesbians seems to understand The Lesbian Gender and that's ok but i wish people who aren't lesbians would…	en	California
1225684482524475392	RT @SkeltonCrew: Our Gender Key is up next for our 12 Days of #Keymas contest, celebrating the Netflix premiere of one of our favorite comi…	en	
1225684438995984386	"@simplysimontfa Start by taking religion and sexual gender politics out of the classroom
Brain washing children is… https://t.co/xLJDCXnRDl"	en	Sheffield, England
1225684438010384386	"⁦@ForwomenScot⁩ 
⁦@lgballiance⁩ 
Wait for the TERF accusations pile on. https://t.co/jMJ0muiFdS"	en	
1225684437968379905	RT @AneesaAhmed19: @ibusolih Ministry of Gender, Family and Social Services has a too huge and complex mandate (gender, children, disabled,…	en	
1225684426257915905	RT @rohini_sgh: I am not Muslim. I am Hindu. And I want reform in my religion first because that affects me directly. Temple trusts need eq…	en	India
1225684422696898561	"RT @streddiewarrior: If you're bi with a heavy lean towards the same gender you're not gay, you're still bi.
If you're bi with a heavy lean…"	en	Los Angeles, CA
1225684418850775041	"RT @BlazeQuark: Pretty shit of Laura Pidcock to continue with the transphobic dogwhistles:
""the women’s movement needs the space to talk ab…"	en	Towns lol
1225684414975246342	"RT @asterlactuca: @hachibani ALSKDSKDJJDJ

'bottoms and brats' is the new gender neutral 'ladies and gentlemen' thank you for your wisdom,…"	en	
1225684413565947905	RT @genderoftheday: To be totally clear, this is a bot for trans people, for genderweirds, for queers, for people who are conflicted about…	en	Tokyo-to, Japan
1225684410692861954	"RT @GM4Women2028: ""What pledge can you make to get gender equality in your industry and business?"" @sally_lindsay 

#WeCanDoBetter 
#GM4Wom…"	en	New Mills, England
1225684407987535872	RT @Docstockk: .@UniofHerts now confirm lecture will go ahead as planned, as part of day of events with range of speakers. Sincere thanks t…	en	
1225684405315723265	"RT @TomTaylorMade: The @KingsComicsAU women’s group ""Queens of Kings"" are putting on a convention aimed at amplifying and highlighting the…"	en	Sydney, Australia 
1225684394767052803	RT @nytimesworld: The reform will apply to all parents, regardless of their gender or whether they are a child's biological or adoptive par…	en	San Diego
1225684387489927171	"Actually I believe this kind of ""lumping together"" in academic disciplines addressing gender, race, religion and ot… https://t.co/z8BOqyBLYv"	en	England
1225684384637829121	I'm deeply concerned about the failure of academics to distinguish between differing kinds of feminism. Not least b… https://t.co/DtSdyU9JVu	en	England
